Tahun,PBN_Produksi,PBN_Persen,PBS_Produksi,PBS_Persen,PR_Produksi,PR_Persen,Total_Produksi
2010,1921660,8.54,12116488,53.86,8458709,37.60,22496857
2011,2154218,8.99,13058557,54.47,8797925,36.70,23974142
2012,3085252,13.38,13109508,56.86,9204216,39.92,23057238
2013,2144651,7.72,15626625,56.25,10010728,36.03,27782004
2014,3178508,11.58,14038896,51.16,10215453,37.23,27438889
2015,2346822,7.55,18195392,58.56,10527604,33.88,31069818
2016,1887999,6.00,18024445,57.24,11575542,36.76,31487986
2017,1861263,5.33,19887837,56.92,13191189,37.75,34940289
2018,2147136,5.01,25439694,59.32,15296801,35.67,42883631
2019,2134367,4.53,30060003,63.79,14925877,31.68,47120247
2020,2310612,5.05,27935806,61.07,15495430,33.88,45741848
2021,2256134,5.00,27361506,60.64,15503840,34.36,45121480
2022,2295975,4.90,28213090,60.26,16310607,34.84,46819673
2023,2295975,4.90,28213090,60.26,16310607,34.84,46819673
